relative_path,codec,profile,bit_depth,hdr,resolution,audio,duration,bitrate,fps,file_size
"Ballerina (2025) [tmdbid-541671]/Ballerina (2025) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-EAC3 EAC3ATMOS by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); EAC3 8 channels (FL+FR+FC+LFE+SL+SR+TFL+TFR) (Ingles)",7495s,28108kbps,23.98,24.53 GB
"Ballerina (2025) [tmdbid-541671]/Ballerina (2025) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",7494s,6892kbps,23.98,6.01 GB
"Bambi (1942) [tmdbid-3170]/Bambi (1942) - (Spanish English Subs) BDrip 720p x264-AC3-DTS by inxs5000.mkv",H264,High,8-bit,SDR,480p,"AC3 5.1 (spa); AC3 5.1 (eng); DTS 5.1 (eng)",4190s,5316kbps,23.98,2.59 GB
"Barely Lethal (2015) [tmdbid-248574]/Barely Lethal (2015) - BluRay 1080p AC3 ITA AC3 ENG Subs x264-WGZ.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (AC3 ITA 5.1 640 kbps); AC3 5.1 (AC3 ENG 5.1 640 kbps)",5917s,9083kbps,23.98,6.26 GB
"Barry Lyndon (1975) [tmdbid-3175]/Barry Lyndon (1975) - (Spanish English Subs) Micro4K 2160p HDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",11114s,4748kbps,23.98,6.14 GB
"Basil, el ratón superdetective (1986) [tmdbid-9994]/Basil, el ratón superdetective (1986) - (Spanish English Subs) BDRip 1080p x265-AAC AC3 by eMulerr.mkv",HEVC,Main 10,10-bit,SDR,1080p,"AAC 2.0 (Castellano); AC3 5.1 (Ingles)",4456s,6618kbps,23.98,3.43 GB
"Beau tiene miedo (2023) [tmdbid-798286]/Beau tiene miedo (2023) - (English Subs) WEBRip 1080p x265-EAC3 by JJ.mkv",HEVC,Main,8-bit,SDR,1080p,"EAC3 5.1 (eng)",10744s,3414kbps,23.98,4.27 GB
"Bichos, una aventura en miniatura (1998) [tmdbid-9487]/Bichos, una aventura en miniatura (1998) - (Spanish English Subs) BDRip 1080p x264-AAC by xula (nocturniap2p).mkv",H264,Main,8-bit,SDR,1080p,"AAC 2.0 (spa); AAC 2.0 (eng)",5694s,3622kbps,23.98,2.40 GB
"Big Hero 6 (2014) [tmdbid-177572]/Big Hero 6 (2014) - (Catala Spanish English Subs) BDrip 1080p x264-AC3 by PIZARRIN (totsrucs - filibusteros).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Català); AC3 5.1 (Castellano); AC3 5.1 (English)",6113s,6255kbps,23.98,4.45 GB
"Black Dog (2024) [tmdbid-1249423]/Black Dog (2024) - (Spanish Chinese Subs) WEB-DL 1080p x264-EAC3 by xusman (nocturniap2p).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (stream 1); EAC3 5.1 (qaa)",6342s,4312kbps,25.00,3.18 GB
